No,カテゴリ,本音,建前
1,恋愛,疲れているから会いたくない。面倒くさい。,元気な時に会いたいな。今ちょっと疲れちゃったな。
2,恋愛,結婚いつできるの,健康的な子どもが欲しいいから子ども産むのは早い方がいいな。
3,恋愛,服がダサい,元がいいんだから、こんな服着るともっとかっこいいと思うよ。。
4,恋愛,まだ結婚したくない,もっと君に見合ういい男になりたいんだよ。だからもう少し待ってね。
5,恋愛,ちょっと距離を置きたいな。今は会いたくない。,今はあなたのために自分磨きに集中したいから、我慢できる？
6,恋愛,もう別れたい。。,あっ、もう秋だね。衣替えの時期だし、旅にでも出たいな〜
7,恋愛,まだ別れたくない。,まだまだあなたとやりたいことあるんだけどな〜
8,恋愛,もう、愚痴をやめて。。聞きたくないし。,なんか変な声が聞こえたけど、気のせいかな
9,恋愛,お金返してもらってないんですけど。,今月ピンチなんだよね。お金かしてよ。。
10,恋愛,就活大丈夫？,私、生活力のある人が好き。。
11,恋愛,あんまり干渉しないで。。,私一人が好きになっちゃった。
12,恋愛,他の人のことが気になるけど、現状キープしておきたい,勉強のために、色んな人とつながっていたいんだよね
13,恋愛,つまらないし、別れたい,一緒にいると居心地がよすぎて、自分がだめになる。いつか君に釣り合うために、もっと勉強したいんだ
14,恋愛,どうでもいい話をやめて。黙ってくれないかな,とても楽しいんだけど、ちょっとロマンチックな雰囲気にしたいな
15,仕事,また同じミスしたな。。,失敗は成功の元。繰り返さないよう頑張りましょう。
16,仕事,聞いてないよ,私が悪いんだと思うけど今の件のこと知りませんでした。スミマセン。
17,仕事,今日やるって言ったじゃん,これいつまでだっけ？
18,仕事,今日までって、、、今日は定時ですけど。。,間に合いそうにないです。スミマセン手伝っていただけませんか？
19,仕事,無茶振りはやめて。。,私、体小さいし、容量がすぐ一杯になっちゃうんですよ。
20,仕事,いつもデザインが古臭いんだよな。。,わーすごいデザイン。どこかで見たことがありそうですけど斬新。。
21,,,
22,仕事,お前の説明の仕方下手なんだよ。。,わからないので、教えてください
23,仕事,お前との仕事はやりづらいよ。,先輩と一緒なら、やってみたいです
24,仕事,お前のその性格だけにはなりたくないな。,その性格、自分も欲しいんですよ
25,仕事,その仕事は勘弁だな。先輩にお願いしたい。,自分より先輩の方がふさわしいです
26,仕事,もう先輩をとっくに超えてるんだからね。,先輩に比べたら、自分はまだまだです
27,仕事,電車遅延がそんなに毎日起こるはずないでしょう。,電車遅延疲れるでしょう？朝早い電車なら空いているって聞くよ
28,仕事,遅刻をやめなさい。,知ってる、最近朝活って流行っているんだって。
29,仕事,パワハラじゃない？訴えてやる。,"大変申し訳ございません。ただひたすら、猛省しております。
今後の改善について、一度アドバイスいただいたことを弁護士に伝え、今後の改善について相談させていただこうと思います。では、また法廷にてお目通りさせていただければと思います。"
30,仕事,さわがしい,元気で素晴らしい。そんだけ元気なら、きっと成果がでるね。期待しているよ。
31,仕事,お前、そんな仕事ばっかしてていいと思ってんの？,俺は君に期待してるんだ
32,仕事,いや……。もう、俺がやるからいい,せっかくだから手伝ってあげるよ。
33,仕事,誰だ。こんなクソコード書いたのは。。,このコード、俺には高度すぎて理解できないな。
34,仕事,仕様変更により、君が書いたコードは使えなくなった。,この間書いてもらったコード永久保存しておいたからね。
35,仕事,こんな忙しい時に休むの？,ご家族に何かあったの？仕事熱心の君が、こんな時に休むなんて、大変なことが起きたんだね…
36,仕事,いつも喫煙室にいるな。仕事してるのかな,お身体大丈夫ですか？喫煙の影響がお仕事やご家庭に影響出ないといいのですが、禁煙外来ご紹介しましょうか？
37,仕事,この忙しい時に急な納品させるな段取りが狂うだろ,よほどのご事情があってのスケジュール変更ですね。わかりました。命を削って対応いたします。眠れないなんて全然平気です！
38,仕事,人の仕事の手柄を横取りするな,一緒にお仕事ご一緒できてよかったです。徹夜で辛かった日もありますが、貴殿が認められたということは、きっと引っ込み思案の私の代わりですね。本当に嬉しいです。
39,仕事,つついても何しても返信がない,返信いただけないとは、よほどのご事情があったのですね…。きっとご家族にご不幸でもあったのかもと思ってました。心中お察しします。
40,恋愛,しつこい。もう諦めてほしい。サイコか馬鹿。,本当、あなたは素敵な人だけど、結ばれない縁だと思うの。この間、占い師に言われたの。結ばれたらお互い不幸になるって。来世で一緒になりましょう。
41,恋愛,臭い,最近おすすめの香水があるので、汗の匂いとかが消えるから、私も使っているの。一緒に使わない？
42,恋愛,マザコンか。,素敵なお母様みたいね。頑張らなきゃ。でも、私のこともちょっとは見てほしいなあー。
43,仕事,触るな。セクハラか。,私に触ると火傷するから、触っちゃダメよ。触るな危険！そういえば、明日上司と人事とランチ会なの。今日の話していい？
44,仕事,横文字ばかり・・・、ルー大柴か,すみませんー。ちょっと英語苦手てで・・・。誰かー、日本語翻訳してください！
45,仕事,その言い方、パワハラじゃん。,そんな風に思われてたなんて、本当にショックで悲しいです。今度から、ご期待に添えるようにもっと頑張ります。ところで、今のお話、何度も聞き返したく、録音していたのですが、明日人事にお聞かせしてもいいでしょうか？
