(このデータベースでリストした数値は100g の可食部です。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,分類,食材の名前,英語表記,廃棄率(%),カロリー(kcal),修正カロリー(kcal),水分(g),粗タンパク(g),粗脂肪(g),飽和脂肪酸(g),灰分(g),総炭水化物(g),食物繊維(g),糖質の総量(g),ブドウ糖(g),果糖(g),半乳糖(g),麦芽糖(g),蔗糖(g),乳糖(g),ナトリウム(mg),カリウム(mg),カルシウム(mg),マグネシウム(mg),鉄(mg),亜鉛(mg),リン(mg),銅(ug),ビタミンA総量(I.U.),レチノール活性当量(ug),α-カロテン(ug),β-カロテン(ug),レチノール(ug),α-トコフェロール当量(mg),ビタミンE総量(mg),α-トコフェロール(mg),β-トコフェロール(mg),γ-トコフェロール(mg),δ-トコフェロール(mg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン ((mg),ビタミンB6(mg),ビタミンB12(ug),葉酸(ug),ビタミンC(mg),脂肪酸S総量(%),酪酸(4:0)-成分值(%),己酸(6:0)-成分值(%),辛酸(8:0)-成分值(%),癸酸(10:0)-成分值(%),月桂酸(12:0)-成分值(%),十三酸(13:0)-成分值(%),肉豆蔻酸(14:0)-成分值(%),十五酸(15:0)-成分值(%),棕櫚酸(16:0)-成分值(%),十七酸(17:0)-成分值(%),硬脂酸(18:0)-成分值(%),十九酸(19:0)-成分值(%),花生酸(20:0)-成分值(%),山酸(22:0)-成分值(%),廿四酸(24:0)-成分值(%),脂肪酸M總量-成分值(%),肉豆蔻烯酸(14:1)-成分值(%),棕櫚烯酸(16:1)-成分值(%),油酸(18:1)-成分值(%),鱈烯酸(20:1)-成分值(%),芥子酸(22:1)-成分值(%),脂肪酸P總量-成分值(%),亞麻油酸(18:2)-成分值(%),次亞麻油酸(18:3)-成分值(%),十八碳四烯酸(18:4)-成分值(%),花生油酸(20:4)-成分值(%),廿碳五烯酸(20:5)-成分值(%),廿二碳五烯酸(22:5)-成分值(%),廿二碳六烯酸(22:6)-成分值(%),其他脂肪酸-成分值(%),不飽和脂肪酸(mg),水解胺基酸總量-成分值(mg),天門冬胺酸(Asp)-成分值(mg),酥胺酸(Thr)-成分值(mg),絲胺酸(Ser)-成分值(mg),麩胺酸(Glu)-成分值(mg),脯胺酸(Pro)-成分值(mg),甘胺酸(Gly)-成分值(mg),丙胺酸(Ala)-成分值(mg),胱胺酸(Cys)-成分值(mg),纈胺酸(Val)-成分值(mg),甲硫胺酸(Met)-成分值(mg),異白胺酸(Ile)-成分值(mg),白胺酸(Leu)-成分值(mg),酪胺酸(Tyr)-成分值(mg),苯丙胺酸(Phe)-成分值(mg),離胺酸(Lys)-成分值(mg),組胺酸(His)-成分值(mg),精胺酸(Arg)-成分值(mg),色胺酸(Trp)-成分值(mg),コレステロール.(mg),アルコール(g)
A00101,穀類,大麦,Barley,,361.8425,342.9202,12.3023,8.9117,1.5967,0.4163,1.0647,76.1246,8.9256,0,0,0,,0,0,0,14.1587,228.6543,25.6666,49.3449,1.5693,1.2273,154.6765,,0,0,0,0,,0.5071,1.1076,0.4333,0.0233,0.6443,0.0067,0.16,0.043,3.3087,0.2201,,55.9443,0.2,26.0738,0,0,0.0185,0.0115,0.033,0,0.116,0.03,23.3546,0.035,2.0676,0,0.096,0.108,0.2036,9.9981,0,0.0475,9.1216,0.2035,0.6255,63.9042,60.3778,3.5264,0,0,0,0,0,0.023,,8158.8437,456.1593,277.4867,362.8747,2158.0287,1006.4407,324.4583,311.479,247.494,397.7893,76.496,280.799,574.8087,243.1687,421.2903,288.459,254.5413,386.951,90.119,,
A00201,穀類,大麦はフレーク,Barley flake; Barley chip,,364.6155,351.8982,12.09,8.636,1.79,0.4558,0.8174,76.6666,5.9987,,,,,,,,7.185,245.965,12.665,55.185,2.245,0.826,129.095,,0,0,0,0,,0.1306,0.26,0.1075,0.0275,0.12,0.005,0.149,0.035,3.225,0.1826,,27.7,9.82,25.4627,0,0,0,0,0,0,0.2924,0,22.5893,0,1.9437,0,0.2989,0.3384,0,17.1945,0,0,14.5513,0.7635,1.8797,57.3423,53.8081,3.5342,0,0,0,0,0,0,,9031.1136,474.465,287.615,358.73,2386.275,1259.435,332.05,334.775,351.4586,427.17,106.265,330.845,653.915,276.395,473.57,311.6,200.565,422.145,43.84,,
A00301,穀類,大麦粉,,,388.8475,373.5733,5.733,7.118,1.3142,0.3678,0.8794,84.9554,7.2048,0,0,0,,0,0,0,9.83,307.271,25.2358,49.8125,1.145,1.333,165.699,,0,0,,0,,0.0814,0.115,0.072,0.017,0.026,0,0.09,0.031,2.853,0.229,,44.673,0,27.99,0,0.039,0.17,0.18,0.79,0,0.739,0.085,23.093,0.098,2.219,0,0.254,0.323,0,16.805,0,0.164,14.752,0.538,1.351,55.207,52.015,3.192,0,0,0,0,0,0,,8331.888,495.276,272.268,357.74,2374.592,910.37,325.656,318.661,148.363,431.049,116.97,319.158,640.176,251.366,431.829,269.083,183.864,346.547,138.92,,
A00401,穀類,粟,Foxtail-millet; Millet,,370.1938,365.4819,12.26,11.3135,3.655,0.4416,1.0808,71.6907,2.2226,,,,,,,,1,201.92,4.795,107.75,2.89,2.2825,164.29,,0,0,0,0,,0.1864,1.445,0.075,0.03,0.955,0.385,0.455,0.11,4.145,0.3249,,45.15,0.15,12.0821,0,0,0,0,0,0,0,0,9.0767,0,1.6941,0,0.615,0.4054,0.2909,22.6106,0,0,22.0559,0.5547,0,65.3069,64.3523,0.9546,0,0,0,0,0,0,,10268.3401,656.63,311.17,631.17,2199.3,1231.605,236.17,1103.65,264.8201,461.765,231.605,403.275,771.795,366.83,545.75,146.685,214.705,330.945,160.47,,
A00501,穀類,もちキビ,Glutinous foxtail-millet; Glutinous millet,,360.1972,357.167,12.864,12.465,1.5164,0.2565,0.6384,72.5162,1.4293,0,0,0,,0,0,0,1.206,142.4715,8.598,47.8325,2.2355,2.0345,107.5975,,95.627,9.565,0,57.3785,,0.0679,0.584,0.0285,0.01,0.3325,0.213,0.168,0.0597,2.1692,0.1932,,28.4795,0.5,16.9162,0,0,0,0,0,0,0.031,0,13.2074,0.032,2.3245,0,0.6755,0.4708,0.175,22.5029,0,0.1488,21.9764,0.3777,0,60.5545,59.4016,1.1529,0,0,0,0,0,0.0265,,11037.031,683.767,293.486,718.9165,2638.706,390.1545,111.7635,1392.836,226.668,505.9465,132.8125,479.274,1615.3075,398.627,638.314,127.381,233.068,270.7245,179.2785,,
A00601,穀類,小麦,Wheat,,361.6418,337.7443,12.63,14.118,2.565,0.4667,1.5192,69.1678,11.2724,,,,,,,,1.37,364.35,18.875,137.285,3.39,2.998,240.805,,0,0,0,0,,1.6527,3.495,1.27,0.555,1.6,0.07,0.411,0.095,5.39,0.2655,,73.3,5.115,18.1957,0,0,0,0,0,0,0,0,17.1786,0,1.0171,0,0,0,0,17.8589,0,0,17.0288,0.8301,0,63.9453,59.5058,4.4395,0,0,0,0,0,0,,15029.4295,711.15,426.415,689.815,4739.325,1899.33,606.19,501.73,574.2395,588.265,184.92,493.165,1023.88,456.78,710.825,396.9,357.175,669.325,0,,
A00701,穀類,小麦胚芽,Wheat germ,,417.0033,395.8457,4.23,31.362,11.585,1.7347,4.9076,47.9154,9.98,,,,,,,,3.115,986.125,44.98,333.04,6.005,14.946,1172.745,,29.0322,2.9039,0,17.42,,15.509,19.13,13.2,5.72,0.21,0,2.437,0.5195,4.0205,1.4018,,329.295,0,14.974,0,0,0,0,0,0,0.0873,0,14.4086,0,0.4391,0,0,0,0.039,16.1373,0,0,14.8205,1.3168,0,68.9649,61.6416,7.3233,0,0,0,0,0,0,,28887.0439,2779.39,1234.72,1306.79,4479.275,1400.13,1841.925,1953.355,1411.5389,1472.785,393.06,991.185,1994.645,832.6,1080.48,1995.715,778.77,2619.56,321.12,,
A00801,穀類,餃子の皮,Dumpling skin,,263.5227,260.6173,32.976,7.7565,0.5075,0,1.7777,56.9823,1.4527,,,,,,,,628.8046,65.1111,12.5152,16.401,0.5809,0.3141,52.1177,,0,0,0,0,,0.0155,0.08,0.005,0.01,0.065,0,0.049,0.018,0.533,0.05,,26.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8880.6746,327.0095,219.5895,399.69,3044.521,1049.5885,286.5685,258.8425,751.3616,327.9955,65.5375,287.4095,593.009,194.4165,390.8925,168.532,168.6095,237.4515,109.65,,
A00802,穀類,菓子,Spring roll skin,,240.8092,236.7806,38.861,8.29,0.652,0,1.7517,50.4453,2.0143,,,,,,,,544.9739,74.7509,15.6913,20.3988,0.6695,0.3691,65.2242,,0,0,0,0,,0.066,0.09,0.05,0.04,0,0,0.093,0.016,0.583,0,,17.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7669.16,323.62,212.816,400.474,2964.69,1003.702,273.818,254.956,108.991,21.117,64.058,279.522,564.02,164.269,367.162,167.014,164.534,207.117,127.28,,
A00803,穀類,ワンタンラッパー,Wonton skin,,270.9594,267.9264,31.414,8.34,0.543,0,1.5249,58.1781,1.5165,,,,,,,,500.873,77.1701,14.5412,18.7835,0.5759,0.3741,61.2115,,0,0,0,0,,0.018,0.03,0.01,0.02,0,0,0.066,0.016,0.51,0,,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8259.083,345.59,226.985,420.999,3119.02,1054.959,288.008,267.943,142.553,337.484,45.388,306.661,589.892,180.971,386.503,172.159,172.418,201.55,0,,
