PMS症状,PMSに関係する成分,改善か悪化か
乳房が張る,糖分,×
乳房が痛い,糖分,×
肌荒れ、ニキビ、吹き出物,糖分,×
体重が増える,糖分,×
下腹部が痛い、張る,糖分,×
眠気が強くなる,糖分,×
寝つきが悪くなる,糖分,×
疲れやすい,糖分,×
むくみ,糖分,×
腰の痛み,糖分,×
頭痛,糖分,×
イライラする,糖分,×
怒りっぽくなる,糖分,×
情緒不安定になる,糖分,×
憂鬱な気分になる,糖分,×
落ち着きがなくなる,糖分,×
集中力がなくなる,糖分,×
乳房が張る,単一炭水化物,×
乳房が痛い,単一炭水化物,×
肌荒れ、ニキビ、吹き出物,単一炭水化物,×
体重が増える,単一炭水化物,×
下腹部が痛い、張る,単一炭水化物,×
眠気が強くなる,単一炭水化物,×
寝つきが悪くなる,単一炭水化物,×
疲れやすい,単一炭水化物,×
むくみ,単一炭水化物,×
腰の痛み,単一炭水化物,×
頭痛,単一炭水化物,×
イライラする,単一炭水化物,×
怒りっぽくなる,単一炭水化物,×
情緒不安定になる,単一炭水化物,×
憂鬱な気分になる,単一炭水化物,×
落ち着きがなくなる,単一炭水化物,×
集中力がなくなる,単一炭水化物,×
乳房が張る,カフェイン,×
乳房が痛い,カフェイン,×
肌荒れ、ニキビ、吹き出物,カフェイン,×
体重が増える,カフェイン,×
下腹部が痛い、張る,カフェイン,×
眠気が強くなる,カフェイン,×
寝つきが悪くなる,カフェイン,×
疲れやすい,カフェイン,×
むくみ,カフェイン,×
腰の痛み,カフェイン,×
頭痛,カフェイン,×
イライラする,カフェイン,×
怒りっぽくなる,カフェイン,×
情緒不安定になる,カフェイン,×
憂鬱な気分になる,カフェイン,×
落ち着きがなくなる,カフェイン,×
集中力がなくなる,カフェイン,×
乳房が張る,塩分,×
乳房が痛い,塩分,×
肌荒れ、ニキビ、吹き出物,塩分,×
体重が増える,塩分,×
下腹部が痛い、張る,塩分,×
眠気が強くなる,塩分,×
寝つきが悪くなる,塩分,×
疲れやすい,塩分,×
むくみ,塩分,×
腰の痛み,塩分,×
頭痛,塩分,×
イライラする,塩分,×
怒りっぽくなる,塩分,×
情緒不安定になる,塩分,×
憂鬱な気分になる,塩分,×
落ち着きがなくなる,塩分,×
集中力がなくなる,塩分,×
乳房が張る,アルコール,×
乳房が痛い,アルコール,×
肌荒れ、ニキビ、吹き出物,アルコール,×
体重が増える,アルコール,×
下腹部が痛い、張る,アルコール,×
眠気が強くなる,アルコール,×
寝つきが悪くなる,アルコール,×
疲れやすい,アルコール,×
むくみ,アルコール,×
腰の痛み,アルコール,×
頭痛,アルコール,×
イライラする,アルコール,×
怒りっぽくなる,アルコール,×
情緒不安定になる,アルコール,×
憂鬱な気分になる,アルコール,×
落ち着きがなくなる,アルコール,×
集中力がなくなる,アルコール,×
乳房が張る,ビタミンＢ６,〇
乳房が痛い,ビタミンＢ６,〇
肌荒れ、ニキビ、吹き出物,ビタミンＢ６,〇
体重が増える,ビタミンＢ６,〇
下腹部が痛い、張る,ビタミンＢ６,〇
眠気が強くなる,ビタミンＢ６,〇
寝つきが悪くなる,ビタミンＢ６,〇
疲れやすい,ビタミンＢ６,〇
むくみ,ビタミンＢ６,〇
腰の痛み,ビタミンＢ６,〇
頭痛,ビタミンＢ６,〇
イライラする,ビタミンＢ６,〇
怒りっぽくなる,ビタミンＢ６,〇
情緒不安定になる,ビタミンＢ６,〇
憂鬱な気分になる,ビタミンＢ６,〇
落ち着きがなくなる,ビタミンＢ６,〇
乳房が張る,ビタミンＢ群,〇
乳房が痛い,ビタミンＢ群,〇
肌荒れ、ニキビ、吹き出物,ビタミンＢ群,〇
体重が増える,ビタミンＢ群,〇
下腹部が痛い、張る,ビタミンＢ群,〇
眠気が強くなる,ビタミンＢ群,〇
寝つきが悪くなる,ビタミンＢ群,〇
疲れやすい,ビタミンＢ群,〇
むくみ,ビタミンＢ群,〇
腰の痛み,ビタミンＢ群,〇
頭痛,ビタミンＢ群,〇
イライラする,ビタミンＢ群,〇
怒りっぽくなる,ビタミンＢ群,〇
情緒不安定になる,ビタミンＢ群,〇
憂鬱な気分になる,ビタミンＢ群,〇
落ち着きがなくなる,ビタミンＢ群,〇
乳房が張る,カルシウム,〇
乳房が痛い,カルシウム,〇
肌荒れ、ニキビ、吹き出物,カルシウム,〇
体重が増える,カルシウム,〇
下腹部が痛い、張る,カルシウム,〇
眠気が強くなる,カルシウム,〇
寝つきが悪くなる,カルシウム,〇
疲れやすい,カルシウム,〇
むくみ,カルシウム,〇
腰の痛み,カルシウム,〇
頭痛,カルシウム,〇
イライラする,カルシウム,〇
怒りっぽくなる,カルシウム,〇
情緒不安定になる,カルシウム,〇
憂鬱な気分になる,カルシウム,〇
落ち着きがなくなる,カルシウム,〇
乳房が張る,マグネシウム,〇
乳房が痛い,マグネシウム,〇
肌荒れ、ニキビ、吹き出物,マグネシウム,〇
体重が増える,マグネシウム,〇
下腹部が痛い、張る,マグネシウム,〇
眠気が強くなる,マグネシウム,〇
寝つきが悪くなる,マグネシウム,〇
疲れやすい,マグネシウム,〇
むくみ,マグネシウム,〇
腰の痛み,マグネシウム,〇
頭痛,マグネシウム,〇
イライラする,マグネシウム,〇
怒りっぽくなる,マグネシウム,〇
情緒不安定になる,マグネシウム,〇
憂鬱な気分になる,マグネシウム,〇
落ち着きがなくなる,マグネシウム,〇
乳房が張る,大豆イソフラボン,〇
乳房が痛い,大豆イソフラボン,〇
肌荒れ、ニキビ、吹き出物,大豆イソフラボン,〇
体重が増える,大豆イソフラボン,〇
下腹部が痛い、張る,大豆イソフラボン,〇
眠気が強くなる,大豆イソフラボン,〇
寝つきが悪くなる,大豆イソフラボン,〇
疲れやすい,大豆イソフラボン,〇
むくみ,大豆イソフラボン,〇
腰の痛み,大豆イソフラボン,〇
頭痛,大豆イソフラボン,〇
イライラする,大豆イソフラボン,〇
怒りっぽくなる,大豆イソフラボン,〇
情緒不安定になる,大豆イソフラボン,〇
憂鬱な気分になる,大豆イソフラボン,〇
落ち着きがなくなる,大豆イソフラボン,〇
乳房が張る,植物性エストロゲン,〇
乳房が痛い,植物性エストロゲン,〇
肌荒れ、ニキビ、吹き出物,植物性エストロゲン,〇
体重が増える,植物性エストロゲン,〇
下腹部が痛い、張る,植物性エストロゲン,〇
眠気が強くなる,植物性エストロゲン,〇
寝つきが悪くなる,植物性エストロゲン,〇
疲れやすい,植物性エストロゲン,〇
むくみ,植物性エストロゲン,〇
腰の痛み,植物性エストロゲン,〇
頭痛,植物性エストロゲン,〇
イライラする,植物性エストロゲン,〇
怒りっぽくなる,植物性エストロゲン,〇
情緒不安定になる,植物性エストロゲン,〇
憂鬱な気分になる,植物性エストロゲン,〇
落ち着きがなくなる,植物性エストロゲン,〇
乳房が張る,ビタミンＣ,〇
乳房が痛い,ビタミンＣ,〇
肌荒れ、ニキビ、吹き出物,ビタミンＣ,〇
体重が増える,ビタミンＣ,〇
下腹部が痛い、張る,ビタミンＣ,〇
眠気が強くなる,ビタミンＣ,〇
寝つきが悪くなる,ビタミンＣ,〇
疲れやすい,ビタミンＣ,〇
むくみ,ビタミンＣ,〇
腰の痛み,ビタミンＣ,〇
頭痛,ビタミンＣ,〇
イライラする,ビタミンＣ,〇
怒りっぽくなる,ビタミンＣ,〇
情緒不安定になる,ビタミンＣ,〇
憂鬱な気分になる,ビタミンＣ,〇
落ち着きがなくなる,ビタミンＣ,〇
乳房が張る,ビタミンＥ,〇
乳房が痛い,ビタミンＥ,〇
肌荒れ、ニキビ、吹き出物,ビタミンＥ,〇
体重が増える,ビタミンＥ,〇
下腹部が痛い、張る,ビタミンＥ,〇
眠気が強くなる,ビタミンＥ,〇
寝つきが悪くなる,ビタミンＥ,〇
疲れやすい,ビタミンＥ,〇
むくみ,ビタミンＥ,〇
腰の痛み,ビタミンＥ,〇
頭痛,ビタミンＥ,〇
イライラする,ビタミンＥ,〇
怒りっぽくなる,ビタミンＥ,〇
情緒不安定になる,ビタミンＥ,〇
憂鬱な気分になる,ビタミンＥ,〇
落ち着きがなくなる,ビタミンＥ,〇
乳房が張る,食物繊維,〇
乳房が痛い,食物繊維,〇
肌荒れ、ニキビ、吹き出物,食物繊維,〇
体重が増える,食物繊維,〇
下腹部が痛い、張る,食物繊維,〇
眠気が強くなる,食物繊維,〇
寝つきが悪くなる,食物繊維,〇
疲れやすい,食物繊維,〇
むくみ,食物繊維,〇
腰の痛み,食物繊維,〇
頭痛,食物繊維,〇
イライラする,食物繊維,〇
怒りっぽくなる,食物繊維,〇
情緒不安定になる,食物繊維,〇
憂鬱な気分になる,食物繊維,〇
落ち着きがなくなる,食物繊維,〇
乳房が張る,α‐リノレン酸,〇
乳房が痛い,α‐リノレン酸,〇
肌荒れ、ニキビ、吹き出物,α‐リノレン酸,〇
体重が増える,α‐リノレン酸,〇
下腹部が痛い、張る,α‐リノレン酸,〇
眠気が強くなる,α‐リノレン酸,〇
寝つきが悪くなる,α‐リノレン酸,〇
疲れやすい,α‐リノレン酸,〇
むくみ,α‐リノレン酸,〇
腰の痛み,α‐リノレン酸,〇
頭痛,α‐リノレン酸,〇
イライラする,α‐リノレン酸,〇
怒りっぽくなる,α‐リノレン酸,〇
情緒不安定になる,α‐リノレン酸,〇
憂鬱な気分になる,α‐リノレン酸,〇
落ち着きがなくなる,α‐リノレン酸,〇
